customer_id,country_name
11000,Australia
11001,Australia
11002,Australia
11003,Australia
11004,Australia
11005,Australia
11006,Australia
11007,Australia
11008,Australia
11009,Australia
11010,Australia
11011,Australia
11012,USA
11013,USA
11014,USA
11015,USA
11016,USA
11017,Australia
11018,Australia
11019,Canada
11020,Canada
11021,USA
11022,USA
11023,USA
11024,USA
11025,Australia
11026,Australia
11027,Australia
11028,Australia
11029,Australia
11030,Australia
11031,Australia
11032,Australia
11033,Australia
11034,Australia
11035,Australia
11036,USA
11037,Canada
11038,Australia
11039,Australia
11040,USA
11041,USA
11042,USA
11043,USA
11044,Australia
11045,Australia
11046,Australia
11047,Australia
11048,Australia
11049,USA
11050,Australia
11051,Australia
11052,Australia
11053,USA
11054,Australia
11055,Australia
11056,Australia
11057,Australia
11058,Australia
11059,Australia
11060,Australia
11061,Australia
11062,USA
11063,USA
11064,USA
11065,USA
11066,USA
11067,USA
11068,Australia
11069,Australia
11070,Australia
11071,Australia
11072,Australia
11073,Australia
11074,Australia
11075,Australia
11076,Australia
11077,Australia
11078,Canada
11079,Australia
11080,Australia
11081,USA
11082,USA
11083,USA
11084,USA
11085,USA
11086,USA
11087,USA
11088,USA
11089,USA
11090,USA
11091,Canada
11092,Australia
11093,Australia
11094,Australia
11095,Australia
11096,Australia
11097,Australia
11098,Australia
11099,Australia
11100,Australia
11101,Australia
11102,Australia
11103,Australia
11104,Australia
11105,Australia
11106,Australia
11107,Australia
11108,Australia
11109,Australia
11110,Australia
11111,Australia
11112,Australia
11113,Australia
11114,Australia
11115,Australia
11116,Australia
11117,Australia
11118,Australia
11119,Australia
11120,Australia
11121,Australia
11122,Australia
11123,Australia
11124,Australia
11125,Australia
11126,Australia
11127,USA
11128,USA
11129,USA
11130,USA
11131,Canada
11132,Canada
11133,USA
11134,Australia
11135,USA
11136,Canada
11137,USA
11138,USA
11139,Australia
11140,USA
11141,USA
11142,Canada
11143,USA
11144,USA
11145,USA
11146,Australia
11147,Australia
11148,Australia
11149,Australia
11150,Australia
11151,Australia
11152,USA
11153,USA
11154,USA
11155,USA
11156,USA
11157,USA
